event_id,user_id,event_type,product_id,product_category,event_timestamp,device_type,browser,operating_system,session_id,page_url,duration_seconds,referrer_source,ab_test_variant,country,city,is_bot,scroll_depth_pct,click_x,click_y,search_query,conversion_value
45,79,video_play,2,Music,2024-11-26 19:30:08,tablet,Edge,Linux,sess-lxyxjtkislii,/page/vywkfc,429,google,control,MX,Mumbai,false,,,,,
46,1393,video_play,,,2023-08-09 03:49:02,tablet,Opera,Windows,sess-ilfnwbazbcil,/page/pkptuc,379,direct,control,IN,Chicago,false,,,,,
47,1594,search,,,2022-01-03 09:54:46,tablet,Opera,iOS,sess-arldtcooajsx,/page/skglta,203,email,variant_a,FR,Munich,true,,,,search term 113,
48,80,scroll,280,Toys,2024-06-10 11:33:13,tablet,Edge,Android,sess-xwvjxyguylzg,/page/wwjutl,165,none,variant_a,CA,Delhi,false,13.8,,,,
49,1066,search,489,Toys,2025-08-07 20:24:03,desktop,Edge,macOS,sess-wmjnunrtuwva,/page/famwwl,404,direct,variant_b,CA,Vancouver,true,,,,search term 129,
50,1156,scroll,,,2023-06-27 01:37:49,tablet,Safari,iOS,sess-ojdnfxsixzrl,/page/atqsye,580,google,variant_a,UK,Munich,false,36.9,,,,
51,162,wishlist,,,2025-02-18 16:55:40,mobile,Edge,Linux,sess-xccsfwvvukpw,/page/xzjqdd,364,none,control,IN,London,false,,,,,
52,,click,,,2023-12-19 03:20:59,tablet,Chrome,iOS,sess-bwaodjwyobni,/page/khgbzc,248,twitter,variant_b,JP,Manchester,false,,577.5,133.3,,
53,386,search,201,Music,2024-07-02 00:32:32,mobile,Opera,Windows,sess-uzdtiigehmfy,/page/kjvjml,331,twitter,variant_a,BR,Chicago,false,,,,search term 62,
54,479,click,75,Food,2023-03-06 07:13:04,mobile,Safari,macOS,sess-ozeksvokcmiy,/page/eftvoo,445,youtube,variant_a,IN,Manchester,true,,1228.0,814.0,,
55,1960,search,381,Toys,2025-03-01 18:55:30,desktop,Firefox,macOS,sess-qxumnmcvjtlc,/page/gaeids,53,instagram,control,CA,Rio,true,,,,search term 99,
56,1582,add_to_cart,,,2023-03-28 16:46:37,tablet,Opera,Android,sess-ycwiasjecqvf,/page/qucmcv,176,google,variant_b,IN,Mexico City,true,,,,,
57,,video_play,439,Home & Garden,2022-03-02 02:19:35,mobile,Edge,Windows,sess-bmdlzmkqgmjm,/page/ytcjzv,169,email,control,US,Lyon,false,,,,,
58,1494,scroll,143,Toys,2022-03-15 13:12:33,tablet,Safari,Windows,sess-hhvtggiolfxo,/page/wuvzru,476,none,variant_b,US,Lyon,true,38.2,,,,
59,1167,purchase,,,2022-05-28 02:36:14,tablet,Safari,Linux,sess-imaesbumgnpq,/page/fdzbdh,194,facebook,variant_b,DE,Melbourne,true,,,,,26.0
60,44,video_play,,,2022-09-02 03:00:05,desktop,Chrome,Windows,sess-fznbtzjrxsyx,/page/tqaiqe,526,youtube,control,UK,New York,false,,,,,
61,858,form_submit,269,Clothing,2025-03-30 16:33:06,tablet,Opera,Windows,sess-iwarmlnyiirj,/page/tasnom,273,none,variant_a,FR,Berlin,false,,,,,
62,238,form_submit,44,Toys,2024-07-27 12:27:09,tablet,Firefox,Linux,sess-jutbfvfhaest,/page/uvsmij,498,direct,variant_a,JP,New York,true,,,,,
63,1543,scroll,,,2022-03-05 05:21:24,desktop,Edge,Windows,sess-towogjcnumed,/page/erjzgy,45,email,variant_b,CA,Chicago,true,50.3,,,,
64,839,click,,,2022-03-25 20:53:55,desktop,Chrome,Windows,sess-hcgcnsnkmuxn,/page/moecso,199,youtube,variant_a,UK,Mexico City,false,,1423.3,923.0,,
65,336,search,54,Electronics,2022-05-05 13:21:38,tablet,Edge,macOS,sess-jglxssgisnns,/page/wtuyct,553,twitter,variant_b,US,Manchester,true,,,,search term 70,
66,648,video_play,389,Home & Garden,2022-10-21 18:38:23,mobile,Safari,Windows,sess-wwwizibqtiov,/page/rqoden,54,affiliate,control,US,Chicago,false,,,,,
67,749,scroll,,,2024-08-10 15:52:46,desktop,Edge,Linux,sess-wthjmshmkyle,/page/uupnph,157,instagram,variant_b,UK,Sydney,false,90.8,,,,
68,,search,,,2022-05-29 13:52:03,tablet,Chrome,Linux,sess-vhuzndwlvfuv,/page/sjxgrl,379,none,control,FR,São Paulo,false,,,,search term 114,
69,,scroll,,,2022-11-10 08:02:13,mobile,Safari,Windows,sess-qoqlrqprvkfl,/page/fjqwtg,468,twitter,control,CA,Delhi,true,37.5,,,,
70,908,purchase,,,2023-07-28 09:47:03,tablet,Firefox,Linux,sess-mvlljzadkjpc,/page/rqgcqx,298,direct,control,FR,Mumbai,true,,,,,421.03
71,,wishlist,493,Toys,2025-05-18 02:38:33,desktop,Chrome,iOS,sess-kgqkserglffw,/page/vanoij,346,bing,variant_b,JP,New York,true,,,,,
72,1329,add_to_cart,,,2023-02-17 23:34:57,desktop,Firefox,Android,sess-eqymjmmaqqzh,/page/kzzilq,77,affiliate,control,JP,Lyon,false,,,,,
73,663,scroll,,,2024-05-05 11:34:57,mobile,Firefox,Windows,sess-icnamjkgriih,/page/zwwqsf,468,affiliate,variant_b,UK,New York,true,17.7,,,,
74,919,video_play,101,Home & Garden,2024-02-07 06:21:30,desktop,Firefox,macOS,sess-hrgaydhnumbr,/page/bmhnnl,196,direct,variant_b,MX,Vancouver,false,,,,,
75,1520,purchase,,,2022-09-24 06:08:42,tablet,Safari,macOS,sess-dpcdrumwdypm,/page/voikyh,435,email,control,JP,Monterrey,true,,,,,163.53
76,573,video_play,,,2025-06-25 15:33:04,mobile,Safari,Windows,sess-gfdvnbwwfivt,/page/dnpdiz,260,none,control,UK,Tokyo,false,,,,,
77,554,video_play,,,2025-01-06 12:41:33,desktop,Firefox,Android,sess-smeclspkzdtf,/page/reprdq,318,instagram,variant_a,DE,Mumbai,true,,,,,
78,432,search,187,Sports,2024-11-09 17:24:37,mobile,Safari,Android,sess-rvgqfkjehpew,/page/duocnw,91,instagram,variant_a,JP,Delhi,false,,,,search term 155,
79,1604,video_play,498,Electronics,2024-04-05 04:47:24,tablet,Edge,Android,sess-swaxzwzabtdw,/page/vksnjl,24,youtube,variant_a,UK,New York,false,,,,,
80,1565,search,,,2022-03-20 13:55:30,desktop,Safari,Android,sess-fbsphzhtujph,/page/gibbix,343,youtube,control,UK,Sydney,true,,,,search term 3,
81,461,form_submit,,,2023-03-03 00:46:11,tablet,Opera,macOS,sess-akyefvusmrbf,/page/zlqgdb,584,facebook,control,AU,Paris,false,,,,,
82,1928,form_submit,188,Toys,2024-04-30 15:09:55,mobile,Edge,Linux,sess-dvdmiwfkpcpo,/page/bwrvir,246,email,variant_b,US,Vancouver,true,,,,,
83,1531,video_play,,,2023-11-24 16:39:11,mobile,Chrome,Windows,sess-baypsfsffvrf,/page/jveajs,42,bing,control,BR,Sydney,false,,,,,
84,1148,wishlist,,,2025-11-05 04:42:15,mobile,Firefox,Windows,sess-xenynxkmvely,/page/nvqmam,380,facebook,control,IN,São Paulo,true,,,,,
85,1025,scroll,,,2023-06-07 19:16:27,mobile,Opera,Windows,sess-nguxjupbkdhg,/page/mstjxs,302,affiliate,variant_a,DE,Mexico City,false,12.7,,,,
86,1586,form_submit,382,Sports,2024-08-02 10:28:43,desktop,Firefox,iOS,sess-ibxafjvhnrgn,/page/qxzyay,160,instagram,variant_b,FR,Vancouver,false,,,,,
87,,wishlist,,,2022-10-07 11:31:57,desktop,Chrome,Linux,sess-ohyscpmtbcdi,/page/hingtp,408,bing,variant_a,CA,Toronto,false,,,,,
88,1444,wishlist,410,Sports,2022-10-26 02:53:55,mobile,Chrome,iOS,sess-znhflkvdzwqm,/page/urseqc,160,direct,variant_b,DE,Mexico City,false,,,,,
89,1632,purchase,450,Home & Garden,2023-05-07 08:11:17,tablet,Edge,Windows,sess-dstkknnzituw,/page/jpwdns,179,direct,control,FR,Osaka,true,,,,,443.29
90,1679,video_play,,,2024-09-03 02:01:23,desktop,Edge,Android,sess-xjxhyzlysczr,/page/cqbbrq,20,instagram,variant_b,US,Melbourne,false,,,,,
91,1516,page_view,,,2025-03-08 01:19:53,tablet,Safari,Windows,sess-cyyhdfyjlshw,/page/esiugk,551,facebook,control,MX,New York,false,,,,,
92,562,video_play,,,2024-02-22 13:19:56,desktop,Chrome,macOS,sess-upskybrcdgpx,/page/emhvxr,212,facebook,variant_a,AU,Lyon,true,,,,,
93,99,add_to_cart,,,2022-06-06 09:54:05,desktop,Opera,Windows,sess-vqjeyyojrmob,/page/thrbvf,70,twitter,control,MX,Tokyo,false,,,,,
94,1628,video_play,,,2022-10-01 19:19:44,mobile,Firefox,Android,sess-dpikqenymjae,/page/xhndla,269,none,variant_b,FR,Manchester,true,,,,,
95,319,purchase,493,Electronics,2022-01-25 05:48:35,mobile,Safari,iOS,sess-zuaxlssgaxgk,/page/unbkme,589,bing,control,US,Chicago,false,,,,,343.61
96,974,search,193,Clothing,2025-03-05 14:56:14,tablet,Firefox,Linux,sess-zfkqsroztccy,/page/gdmwmt,66,email,control,BR,Mumbai,false,,,,search term 183,
97,1652,search,,,2025-02-17 01:55:58,tablet,Edge,Android,sess-pmgtaugufwzb,/page/gtiwus,105,bing,variant_b,BR,Melbourne,true,,,,search term 67,
98,1083,purchase,,,2023-06-13 14:10:34,tablet,Chrome,macOS,sess-zlwrokanrsrp,/page/wrrfft,148,bing,control,AU,New York,false,,,,,360.79
99,1867,search,,,2022-07-15 15:13:16,mobile,Opera,macOS,sess-lpwhwbhacwwp,/page/rzrfdh,251,direct,variant_b,AU,London,true,,,,search term 138,
100,1717,purchase,434,Clothing,2024-03-22 21:39:37,desktop,Chrome,macOS,sess-lqlgacmzwbov,/page/uvxbdl,547,facebook,control,FR,Berlin,true,,,,,315.9
101,848,wishlist,105,Food,2023-06-13 06:48:43,mobile,Safari,Windows,sess-nzbnpdjoarjb,/page/dafvrr,78,facebook,variant_b,AU,Munich,true,,,,,
102,1877,video_play,290,Sports,2023-02-20 01:23:25,mobile,Firefox,macOS,sess-xeuqqcwjlxwo,/page/hgrweb,529,google,control,FR,Mumbai,false,,,,,
103,173,scroll,,,2023-02-13 11:51:24,tablet,Opera,iOS,sess-odihzapegrqm,/page/inpvas,426,direct,variant_b,UK,London,false,64.9,,,,
104,367,share,246,Home & Garden,2024-03-02 16:14:02,mobile,Opera,Linux,sess-enmhxgnvaesn,/page/uvcdlc,479,affiliate,control,BR,Paris,true,,,,,
105,850,add_to_cart,,,2022-11-06 05:27:22,mobile,Firefox,macOS,sess-tkmwutzpdoqk,/page/hnsjnc,404,twitter,variant_b,CA,Monterrey,true,,,,,
106,1284,click,157,Books,2024-04-18 18:33:17,mobile,Firefox,macOS,sess-nmfhyflhmlbw,/page/cnzvre,342,google,variant_b,FR,Monterrey,false,,1052.2,811.3,,
107,654,video_play,357,Electronics,2024-03-24 06:39:39,desktop,Firefox,macOS,sess-jkcumdrozbji,/page/wfxvoo,184,none,control,FR,New York,true,,,,,
108,1344,form_submit,,,2025-09-26 04:38:42,tablet,Safari,Android,sess-fsqwttkgmton,/page/qzilgh,570,youtube,variant_a,MX,Monterrey,false,,,,,
109,1235,wishlist,49,Toys,2025-10-05 09:59:24,tablet,Firefox,Linux,sess-flfpeumnyhyr,/page/ezjqsb,169,email,variant_a,FR,Osaka,true,,,,,
110,831,share,223,Music,2025-06-14 20:02:06,tablet,Opera,iOS,sess-rmevnfimdezm,/page/utzrdr,476,instagram,variant_b,MX,São Paulo,false,,,,,
111,,video_play,424,Toys,2024-05-23 21:38:54,mobile,Chrome,macOS,sess-zytcwebqvksw,/page/mdsinq,351,affiliate,control,DE,Berlin,false,,,,,
112,815,search,11,Toys,2023-12-21 09:14:34,desktop,Safari,iOS,sess-zzhfzutdcykg,/page/atckuh,156,google,variant_b,UK,Chicago,false,,,,search term 146,
113,1782,form_submit,,,2024-11-04 10:45:57,tablet,Edge,macOS,sess-avxhftioeauc,/page/zbjytu,583,google,control,AU,Tokyo,false,,,,,
114,590,video_play,69,Beauty,2024-10-04 00:38:34,tablet,Firefox,Windows,sess-jkjdqdzkkyit,/page/ekbykw,281,youtube,control,DE,Osaka,false,,,,,
115,350,scroll,,,2024-04-06 05:16:07,mobile,Opera,iOS,sess-nhqhjwcrtdbt,/page/bdssgq,459,affiliate,variant_b,US,Lyon,false,99.7,,,,
116,1924,wishlist,360,Sports,2025-04-14 15:44:11,mobile,Chrome,Windows,sess-hgdcsxlcgxje,/page/oojiui,310,google,variant_a,US,Sydney,true,,,,,
117,1705,scroll,324,Music,2024-09-19 02:01:29,tablet,Firefox,macOS,sess-agbcerainfsi,/page/gqdfkl,345,email,variant_a,CA,Rio,true,48.8,,,,
118,701,wishlist,170,Automotive,2024-12-01 02:55:16,tablet,Chrome,iOS,sess-qdmweiiqnwew,/page/jxksml,288,google,control,AU,Chicago,true,,,,,
119,1173,scroll,,,2024-11-26 05:49:47,mobile,Firefox,Android,sess-vvlhojvetizf,/page/ixdxqh,404,youtube,variant_a,UK,Toronto,true,83.6,,,,
120,1071,form_submit,276,Electronics,2024-08-07 15:14:48,desktop,Firefox,iOS,sess-hkkgwtvzyndu,/page/jjswfu,420,facebook,control,JP,Mexico City,false,,,,,
121,275,scroll,209,Home & Garden,2022-11-02 11:06:48,tablet,Safari,Windows,sess-tngzxaixjgsq,/page/utzhrs,463,twitter,control,UK,Rio,true,81.3,,,,
122,1211,search,,,2022-06-09 15:52:52,tablet,Edge,Android,sess-bxosnjxyaxnk,/page/lbfvwj,303,none,control,IN,Delhi,true,,,,search term 180,
123,1966,scroll,411,Sports,2025-07-27 11:54:39,tablet,Firefox,iOS,sess-nqdcvfvyfrqm,/page/pjxrrs,91,google,control,BR,Lyon,true,36.2,,,,
124,1233,add_to_cart,,,2022-06-21 09:56:34,tablet,Safari,macOS,sess-eggevrcibckj,/page/fdjrfv,519,affiliate,variant_a,FR,Vancouver,false,,,,,
125,558,share,53,Music,2023-08-05 18:05:46,mobile,Edge,macOS,sess-rzncysuzbwxy,/page/msitjh,75,twitter,control,AU,Toronto,false,,,,,
126,256,search,105,Clothing,2025-05-15 08:07:45,desktop,Firefox,macOS,sess-bqpjjpfhkmsg,/page/gkzumt,300,youtube,control,US,Berlin,false,,,,search term 200,
127,1765,click,171,Electronics,2025-12-02 21:27:39,desktop,Opera,Windows,sess-nsdnnccfaqrr,/page/uanlmi,270,email,variant_a,JP,Lyon,true,,490.2,1073.5,,
128,1313,wishlist,,,2023-07-02 18:47:20,desktop,Firefox,macOS,sess-dlprgerfgqjy,/page/hfqvar,346,youtube,control,MX,London,true,,,,,
129,1368,add_to_cart,399,Beauty,2022-07-24 16:29:45,tablet,Firefox,iOS,sess-fsovkjvocibq,/page/mszyjr,448,google,variant_a,JP,London,false,,,,,
130,1090,add_to_cart,372,Automotive,2023-08-05 06:18:35,desktop,Edge,macOS,sess-csdhlrfypplz,/page/rhzzcq,506,facebook,variant_b,JP,Toronto,true,,,,,
131,1549,scroll,,,2025-01-10 14:31:26,mobile,Firefox,macOS,sess-hqmtashxsbdq,/page/qgwapx,256,twitter,variant_a,FR,Delhi,true,8.0,,,,
132,1366,share,232,Food,2022-09-27 19:26:49,tablet,Safari,macOS,sess-obpesrbnypde,/page/rauafe,63,twitter,variant_a,FR,London,true,,,,,
133,860,click,87,Automotive,2022-12-22 13:52:25,mobile,Safari,Linux,sess-osuegojgggll,/page/avhxuk,305,email,variant_b,UK,Delhi,true,,1399.9,857.3,,
134,1588,add_to_cart,90,Clothing,2023-03-09 21:27:30,desktop,Opera,Android,sess-rzxhjzrrpowp,/page/biscls,28,facebook,variant_b,BR,London,false,,,,,
135,75,scroll,,,2023-04-03 20:33:15,desktop,Firefox,Android,sess-uitplmgejcwf,/page/lapgad,422,facebook,variant_b,FR,Vancouver,true,23.1,,,,
136,144,form_submit,426,Books,2025-01-07 12:16:29,mobile,Edge,iOS,sess-ajwctlnmcxbf,/page/xjikrr,15,bing,variant_a,US,New York,false,,,,,
137,1581,add_to_cart,,,2025-08-01 15:01:00,desktop,Safari,Windows,sess-oaweartempfi,/page/ucykqs,260,twitter,variant_b,JP,Mexico City,false,,,,,
138,520,purchase,376,Clothing,2024-01-21 01:54:04,tablet,Firefox,macOS,sess-owgjnowchroo,/page/ltyuur,185,youtube,variant_a,CA,Melbourne,false,,,,,278.76
139,923,share,,,2025-07-19 21:44:10,desktop,Firefox,Linux,sess-mbwauwqwgawm,/page/bnfdti,80,affiliate,control,AU,Rio,true,,,,,
140,,search,,,2022-05-28 00:46:16,tablet,Safari,iOS,sess-lydtewiqhmjm,/page/xptrga,103,bing,variant_b,AU,Manchester,false,,,,search term 73,
141,1893,video_play,,,2023-04-10 08:23:30,tablet,Safari,Android,sess-lnyxmnabbuif,/page/zoxypn,101,direct,variant_b,FR,Vancouver,true,,,,,
142,1794,purchase,336,Books,2023-06-28 15:27:59,mobile,Edge,macOS,sess-dkwduzjhxccl,/page/obczmo,382,twitter,variant_b,CA,Tokyo,false,,,,,57.39
143,1773,share,85,Sports,2024-07-28 04:54:14,mobile,Edge,macOS,sess-vevhtngfuplb,/page/roushl,43,bing,control,CA,Manchester,true,,,,,
144,,wishlist,,,2025-09-06 22:14:55,tablet,Safari,iOS,sess-syxepemqkzjm,/page/ixkxdj,489,email,variant_a,JP,Tokyo,false,,,,,
145,91,click,,,2023-11-16 17:01:45,mobile,Firefox,Windows,sess-qqmxzezotctn,/page/wpaxor,319,affiliate,variant_b,BR,London,false,,1289.2,728.3,,
146,122,click,343,Electronics,2025-03-06 02:18:36,mobile,Opera,macOS,sess-ewwxaivbfxlx,/page/tbkwls,490,twitter,control,CA,New York,false,,733.3,743.1,,
147,745,video_play,,,2022-05-22 03:10:16,desktop,Chrome,Android,sess-kphqyjjixhrm,/page/zmdobb,400,instagram,control,BR,Rio,false,,,,,
148,1880,purchase,468,Toys,2022-10-28 14:41:26,mobile,Edge,Android,sess-owwpysupzojm,/page/dcfwhc,287,affiliate,variant_a,AU,Paris,false,,,,,114.89
149,435,wishlist,,,2022-10-27 15:21:23,mobile,Firefox,Windows,sess-soozjdqfscoc,/page/ybeewf,394,email,variant_a,BR,São Paulo,false,,,,,
150,1722,click,122,Toys,2025-09-29 05:44:18,desktop,Safari,Android,sess-essoefxfnnca,/page/hwktca,287,bing,variant_b,UK,Sydney,true,,121.1,177.1,,
151,977,purchase,88,Toys,2025-08-12 07:56:38,tablet,Opera,iOS,sess-bzujffsfcqnk,/page/mpnnou,585,email,control,CA,London,false,,,,,423.68
152,221,form_submit,99,Food,2024-08-29 14:06:39,mobile,Safari,Linux,sess-nadmjsqtslje,/page/ejyxhk,121,twitter,variant_a,UK,New York,true,,,,,
153,369,add_to_cart,,,2024-04-07 02:46:36,mobile,Chrome,Linux,sess-gxqsyunomwor,/page/ghvnjx,547,email,variant_a,UK,Berlin,true,,,,,
154,902,purchase,,,2022-07-16 18:01:25,mobile,Safari,Android,sess-qhfevatugbxs,/page/fhzesj,378,bing,variant_a,CA,Chicago,true,,,,,177.9
155,47,scroll,201,Home & Garden,2024-03-12 23:36:22,mobile,Opera,Android,sess-rkufqmhifedv,/page/xzefgr,548,email,control,US,Melbourne,false,69.1,,,,
156,970,purchase,,,2023-03-23 01:48:46,tablet,Safari,Android,sess-lptzgewtfncj,/page/tyzcqk,214,bing,variant_b,DE,Chicago,false,,,,,86.73
157,1340,wishlist,,,2022-11-25 08:44:51,mobile,Opera,Linux,sess-pdobuyhygkyt,/page/lpuggc,553,email,variant_a,CA,Mumbai,false,,,,,
158,195,purchase,,,2023-08-21 06:03:13,desktop,Chrome,macOS,sess-fgfewicfrebn,/page/gqxzzl,214,google,variant_b,IN,Monterrey,false,,,,,465.92
159,1071,page_view,,,2025-10-19 00:59:25,desktop,Safari,iOS,sess-sahedapqloet,/page/jvgpxp,323,email,control,UK,Chicago,true,,,,,
160,582,wishlist,,,2024-02-04 11:00:38,tablet,Edge,iOS,sess-gmnvflytbkrk,/page/qihgph,581,facebook,control,FR,Vancouver,false,,,,,
