order_item_id,order_id,product_id,product_name,category,quantity,unit_price,subtotal,discount_amount,tax_rate,tax_amount,returned,return_reason,fulfillment_type,is_digital,gift_wrap,seller_id,warehouse_id,ship_date
39,3810,189,Product_189,Toys,3,1275.53,3466.38,360.21,0.1111,385.11,false,,dropship,false,false,SEL-085,WH-11,2023-10-05
40,4555,446,Product_446,Electronics,5,119.96,575.7,24.1,0.0546,31.43,true,wrong_item,dropship,true,false,SEL-036,WH-12,2025-02-14
41,994,435,Product_435,Clothing,3,1079.17,3007.14,230.37,0.0861,258.91,false,,dropship,true,false,SEL-089,WH-11,2024-09-25
42,3647,490,Product_490,Clothing,4,216.71,848.97,17.87,0.0773,65.63,true,wrong_item,in_store,false,true,SEL-024,WH-19,2025-11-02
43,1359,188,Product_188,Electronics,1,501.6,446.62,54.98,0.0829,37.02,false,,warehouse,false,false,SEL-073,WH-07,2022-05-02
44,4770,364,Product_364,Clothing,3,1087.1,3249.92,11.38,0.0713,231.72,false,,dropship,true,false,SEL-073,WH-19,2025-05-19
45,3101,348,Product_348,Toys,4,982.07,3801.7,126.58,0.0739,280.95,true,changed_mind,dropship,true,true,SEL-005,WH-03,2023-06-21
46,1447,90,Product_90,Home & Garden,2,1122.87,2162.08,83.66,0.079,170.8,true,wrong_item,in_store,true,false,SEL-065,WH-02,2024-11-30
47,2213,386,Product_386,Food,1,534.37,522.03,12.34,0.0792,41.34,true,defective,warehouse,true,true,SEL-025,WH-08,2022-04-10
48,4470,52,Product_52,Food,1,493.48,361.32,132.16,0.1002,36.2,true,wrong_item,warehouse,true,true,SEL-048,WH-01,2024-02-26
49,4251,458,Product_458,Home & Garden,4,958.77,3591.73,243.35,0.0642,230.59,false,,in_store,false,false,SEL-021,WH-10,2024-09-13
50,453,333,Product_333,Clothing,4,585.02,2269.0,71.08,0.0638,144.76,false,,warehouse,false,false,SEL-061,WH-08,2024-05-02
51,2128,132,Product_132,Food,1,435.77,340.9,94.87,0.11,37.5,false,,dropship,false,false,SEL-020,WH-12,2024-07-22
52,2317,283,Product_283,Automotive,5,36.06,179.27,1.03,0.1073,19.24,false,,in_store,true,true,SEL-059,WH-17,2023-08-13
53,410,495,Product_495,Music,3,438.09,1253.3,60.97,0.0757,94.87,true,defective,warehouse,true,false,SEL-062,WH-13,2023-03-13
54,404,126,Product_126,Music,4,1417.24,5454.08,214.88,0.0572,311.97,false,,digital_delivery,false,false,SEL-054,WH-16,2023-05-12
55,1074,76,Product_76,Music,4,678.58,2678.82,35.5,0.075,200.91,true,wrong_item,warehouse,false,true,SEL-026,WH-16,2024-07-20
56,605,223,Product_223,Home & Garden,2,398.66,695.64,101.68,0.0598,41.6,false,,dropship,true,false,SEL-089,WH-20,2023-09-25
57,4623,106,Product_106,Automotive,1,413.02,366.01,47.01,0.0989,36.2,true,defective,warehouse,true,false,SEL-044,WH-02,2024-06-30
58,909,461,Product_461,Books,4,200.91,766.12,37.52,0.117,89.64,false,,warehouse,false,false,SEL-066,WH-08,2022-03-27
59,217,412,Product_412,Clothing,1,1232.3,1177.06,55.24,0.1108,130.42,false,,digital_delivery,true,false,SEL-011,WH-08,2022-07-20
60,295,437,Product_437,Beauty,5,504.71,2470.15,53.4,0.0541,133.64,false,,digital_delivery,false,true,SEL-004,WH-06,2025-01-18
61,860,110,Product_110,Clothing,2,731.88,1441.56,22.2,0.0864,124.55,false,,warehouse,false,false,SEL-098,WH-06,2022-11-01
62,2227,363,Product_363,Toys,4,1189.06,4746.33,9.91,0.0732,347.43,false,,in_store,false,true,SEL-082,WH-04,2023-09-25
63,3229,406,Product_406,Toys,3,858.46,2570.81,4.57,0.0896,230.34,true,defective,warehouse,true,true,SEL-005,WH-02,2025-06-14
64,3013,81,Product_81,Beauty,4,387.07,1444.09,104.19,0.1045,150.91,false,,digital_delivery,true,false,SEL-001,WH-10,2022-12-26
65,2826,348,Product_348,Food,3,631.29,1786.72,107.15,0.0965,172.42,true,arrived_late,warehouse,true,false,SEL-075,WH-01,2023-05-03
66,2285,282,Product_282,Automotive,2,494.6,911.3,77.9,0.0845,77.0,true,changed_mind,digital_delivery,false,true,SEL-030,WH-05,2024-05-06
67,2814,388,Product_388,Toys,3,1479.77,4326.72,112.59,0.0823,356.09,true,not_as_described,in_store,true,false,SEL-073,WH-03,2024-07-18
68,2155,244,Product_244,Food,2,517.8,943.94,91.66,0.1198,113.08,true,arrived_late,digital_delivery,false,false,SEL-059,WH-04,2023-04-30
69,3462,186,Product_186,Home & Garden,5,9.86,48.31,0.99,0.0533,2.57,false,,in_store,false,false,SEL-100,WH-07,2022-05-13
70,3345,295,Product_295,Automotive,1,785.21,605.03,180.18,0.0981,59.35,false,,digital_delivery,true,true,SEL-086,WH-17,2022-01-04
71,2767,431,Product_431,Books,1,434.87,329.21,105.66,0.0825,27.16,true,not_as_described,in_store,false,false,SEL-021,WH-06,2024-08-19
72,2448,161,Product_161,Toys,5,1272.13,6129.98,230.67,0.0913,559.67,false,,in_store,true,true,SEL-027,WH-08,2024-06-02
73,4749,76,Product_76,Beauty,3,261.47,709.07,75.34,0.0806,57.15,true,wrong_item,dropship,true,false,SEL-032,WH-10,2022-10-02
74,4314,3,Product_3,Music,3,392.57,1095.09,82.62,0.0585,64.06,false,,in_store,true,false,SEL-010,WH-01,2023-11-06
75,2950,168,Product_168,Sports,1,826.97,711.95,115.02,0.1009,71.84,false,,in_store,false,true,SEL-021,WH-15,2024-09-28
76,415,420,Product_420,Books,3,961.0,2782.94,100.06,0.0598,166.42,false,,dropship,false,true,SEL-039,WH-20,2025-04-17
77,4018,45,Product_45,Toys,3,1041.57,3062.54,62.17,0.1031,315.75,false,,warehouse,false,false,SEL-011,WH-16,2022-07-11
78,4029,306,Product_306,Beauty,5,985.0,4907.38,17.62,0.0597,292.97,true,defective,digital_delivery,false,false,SEL-098,WH-19,2022-10-24
79,4012,320,Product_320,Food,4,1250.65,4887.09,115.51,0.0605,295.67,false,,digital_delivery,false,false,SEL-054,WH-02,2023-10-19
80,34,36,Product_36,Toys,3,817.52,2362.2,90.36,0.0794,187.56,true,,warehouse,false,false,SEL-080,WH-19,2024-09-03
81,3113,358,Product_358,Music,3,668.91,1806.93,199.8,0.0853,154.13,false,,dropship,true,false,SEL-076,WH-03,2022-08-12
82,3391,356,Product_356,Food,3,299.92,851.19,48.57,0.0851,72.44,true,not_as_described,warehouse,false,true,SEL-056,WH-17,2022-12-20
83,4107,496,Product_496,Toys,5,1461.4,6887.11,419.89,0.1165,802.35,false,,dropship,false,false,SEL-021,WH-08,2024-06-10
84,2597,109,Product_109,Clothing,4,238.46,883.05,70.79,0.1006,88.83,true,,warehouse,false,false,SEL-007,WH-03,2022-05-20
85,1951,312,Product_312,Clothing,1,106.63,76.21,30.42,0.1138,8.67,true,arrived_late,in_store,false,true,SEL-024,WH-07,2023-05-29
86,4122,411,Product_411,Books,3,479.41,1335.1,103.13,0.066,88.12,false,,digital_delivery,true,true,SEL-043,WH-12,2025-02-25
87,2719,192,Product_192,Home & Garden,4,948.82,3602.2,193.08,0.0852,306.91,false,,dropship,true,false,SEL-055,WH-17,2025-05-09
88,4184,79,Product_79,Clothing,4,1189.58,4753.42,4.9,0.0874,415.45,false,,in_store,true,true,SEL-009,WH-14,2024-02-08
89,3815,281,Product_281,Books,2,226.32,413.21,39.43,0.0632,26.11,true,changed_mind,in_store,true,false,SEL-050,WH-11,2024-09-23
90,896,438,Product_438,Books,2,558.15,1048.69,67.61,0.0875,91.76,false,,in_store,false,true,SEL-085,WH-09,2023-06-10
91,2479,349,Product_349,Sports,2,145.52,282.21,8.83,0.0778,21.96,true,changed_mind,warehouse,true,false,SEL-051,WH-13,2022-02-23
92,3157,328,Product_328,Electronics,5,1425.78,6750.02,378.88,0.0668,450.9,true,,digital_delivery,true,false,SEL-091,WH-18,2023-06-09
93,4188,124,Product_124,Music,1,331.81,327.71,4.1,0.1008,33.03,false,,dropship,false,true,SEL-080,WH-09,2023-06-07
94,4209,71,Product_71,Sports,4,1138.01,4415.2,136.84,0.0894,394.72,true,arrived_late,digital_delivery,false,false,SEL-016,WH-18,2022-09-23
95,1664,376,Product_376,Toys,2,544.33,957.0,131.66,0.0647,61.92,false,,digital_delivery,true,true,SEL-004,WH-20,2024-11-20
96,1062,313,Product_313,Automotive,1,193.61,153.25,40.36,0.1197,18.34,true,not_as_described,in_store,false,true,SEL-064,WH-06,2023-07-29
97,2025,185,Product_185,Home & Garden,4,1035.04,4134.77,5.39,0.0676,279.51,false,,dropship,false,true,SEL-082,WH-06,2023-10-08
98,4293,485,Product_485,Sports,5,1389.72,6578.59,370.01,0.098,644.7,true,arrived_late,in_store,false,false,SEL-026,WH-18,2025-04-21
99,1246,391,Product_391,Sports,3,260.11,704.21,76.12,0.1019,71.76,true,wrong_item,digital_delivery,true,true,SEL-093,WH-06,2025-04-18
100,1512,53,Product_53,Toys,3,214.22,613.12,29.54,0.0665,40.77,true,,in_store,false,true,SEL-044,WH-19,2025-03-23
101,2678,289,Product_289,Clothing,5,409.42,2045.65,1.45,0.0854,174.7,true,arrived_late,warehouse,false,false,SEL-094,WH-17,2024-07-14
102,2101,303,Product_303,Books,5,623.68,3075.77,42.63,0.0772,237.45,false,,warehouse,false,false,SEL-043,WH-17,2023-03-15
103,1996,260,Product_260,Music,5,57.18,273.78,12.12,0.0892,24.42,false,,digital_delivery,true,false,SEL-062,WH-18,2022-09-30
104,3239,405,Product_405,Electronics,2,802.75,1487.6,117.9,0.0744,110.68,false,,dropship,false,false,SEL-057,WH-19,2022-09-23
105,1686,230,Product_230,Beauty,1,383.57,334.42,49.15,0.1046,34.98,true,defective,in_store,true,false,SEL-018,WH-09,2023-03-04
106,1334,326,Product_326,Sports,5,1187.81,5693.98,245.07,0.0549,312.6,true,wrong_item,in_store,false,false,SEL-075,WH-11,2025-06-13
107,1528,309,Product_309,Home & Garden,3,904.01,2503.64,208.39,0.0787,197.04,false,,warehouse,false,true,SEL-026,WH-09,2022-03-26
108,127,30,Product_30,Beauty,1,823.83,781.57,42.26,0.1158,90.51,false,,digital_delivery,true,false,SEL-048,WH-04,2024-01-03
109,469,221,Product_221,Books,5,1242.36,6040.13,171.67,0.0701,423.41,false,,in_store,true,false,SEL-027,WH-05,2024-01-20
110,2847,393,Product_393,Books,4,94.15,371.11,5.49,0.0638,23.68,false,,dropship,false,true,SEL-026,WH-02,2022-10-15
111,3118,248,Product_248,Toys,2,1068.58,1935.25,201.91,0.1133,219.26,false,,warehouse,true,true,SEL-016,WH-19,2022-12-23
112,84,396,Product_396,Clothing,4,601.46,2299.04,106.8,0.0763,175.42,false,,digital_delivery,false,false,SEL-075,WH-03,2024-06-27
113,136,411,Product_411,Books,3,189.96,519.14,50.74,0.0759,39.4,true,defective,in_store,true,true,SEL-024,WH-11,2023-12-27
114,4783,142,Product_142,Toys,3,119.14,350.49,6.93,0.0505,17.7,false,,digital_delivery,true,true,SEL-074,WH-14,2024-01-26
115,1026,425,Product_425,Toys,1,1003.38,720.83,282.55,0.0961,69.27,false,,warehouse,true,true,SEL-017,WH-02,2024-02-12
116,4647,204,Product_204,Automotive,4,1223.07,4835.97,56.31,0.1012,489.4,false,,in_store,true,false,SEL-080,WH-16,2025-03-30
117,3692,137,Product_137,Automotive,4,1382.53,5152.34,377.78,0.0507,261.22,false,,dropship,true,false,SEL-065,WH-03,2022-08-22
118,4487,340,Product_340,Home & Garden,2,1143.33,1995.06,291.6,0.0896,178.76,false,,in_store,false,false,SEL-077,WH-19,2025-08-15
119,3666,18,Product_18,Books,2,1016.96,1781.01,252.91,0.0802,142.84,false,,digital_delivery,true,true,SEL-009,WH-18,2023-05-10
120,2382,165,Product_165,Food,4,298.4,1168.26,25.34,0.072,84.11,true,not_as_described,digital_delivery,false,false,SEL-055,WH-15,2024-12-14
121,3110,259,Product_259,Automotive,5,733.36,3448.9,217.9,0.1115,384.55,false,,digital_delivery,false,false,SEL-043,WH-17,2024-01-16
122,872,169,Product_169,Clothing,5,1101.16,5464.93,40.87,0.061,333.36,false,,dropship,false,true,SEL-046,WH-02,2025-07-29
123,292,346,Product_346,Toys,3,417.11,1152.35,98.98,0.1027,118.35,true,wrong_item,digital_delivery,false,false,SEL-006,WH-20,2022-09-05
124,3585,204,Product_204,Beauty,2,1282.89,2496.82,68.96,0.0527,131.58,false,,digital_delivery,false,true,SEL-074,WH-09,2025-01-02
125,644,28,Product_28,Clothing,3,1140.64,3231.42,190.5,0.0605,195.5,true,not_as_described,warehouse,true,true,SEL-055,WH-08,2025-12-14
126,2238,102,Product_102,Beauty,2,932.92,1650.17,215.67,0.0727,119.97,true,wrong_item,digital_delivery,true,false,SEL-057,WH-19,2023-04-15
127,721,265,Product_265,Clothing,1,56.64,56.15,0.49,0.1158,6.5,false,,in_store,false,false,SEL-059,WH-19,2025-08-14
128,3374,96,Product_96,Music,4,866.46,3366.01,99.83,0.1117,375.98,false,,digital_delivery,true,true,SEL-044,WH-10,2025-08-12
129,3121,118,Product_118,Books,5,308.39,1471.84,70.11,0.1196,176.03,false,,digital_delivery,true,false,SEL-073,WH-20,2024-08-28
130,4405,488,Product_488,Home & Garden,4,1408.13,5304.73,327.79,0.1037,550.1,false,,digital_delivery,false,false,SEL-065,WH-08,2025-03-04
131,2015,394,Product_394,Home & Garden,4,1311.89,4941.92,305.64,0.061,301.46,false,,warehouse,true,true,SEL-042,WH-06,2022-01-19
132,2271,242,Product_242,Sports,1,401.34,337.55,63.79,0.0552,18.63,false,,dropship,true,false,SEL-007,WH-14,2025-01-19
133,1307,48,Product_48,Music,2,1224.42,2084.44,364.4,0.0732,152.58,false,,digital_delivery,true,false,SEL-025,WH-14,2022-09-07
134,1689,372,Product_372,Music,5,411.48,2038.17,19.23,0.0599,122.09,true,,warehouse,false,false,SEL-027,WH-06,2023-09-05
135,154,343,Product_343,Beauty,4,64.66,239.85,18.79,0.0522,12.52,true,,dropship,false,true,SEL-084,WH-16,2024-01-18
136,3616,270,Product_270,Toys,5,1156.24,5671.32,109.88,0.0636,360.7,false,,digital_delivery,false,true,SEL-040,WH-15,2024-03-05
137,4620,402,Product_402,Food,1,925.09,779.19,145.9,0.0964,75.11,true,,digital_delivery,true,true,SEL-039,WH-16,2025-09-10
138,3156,132,Product_132,Automotive,3,562.24,1595.86,90.86,0.0948,151.29,true,defective,in_store,false,true,SEL-059,WH-07,2023-10-10
139,1512,232,Product_232,Sports,4,414.65,1556.27,102.33,0.0626,97.42,true,defective,warehouse,false,false,SEL-053,WH-15,2022-11-25
140,4349,314,Product_314,Toys,1,76.17,64.06,12.11,0.0526,3.37,true,wrong_item,in_store,true,false,SEL-037,WH-06,2023-10-31
141,2635,220,Product_220,Automotive,2,651.16,1286.14,16.18,0.0762,98.0,true,changed_mind,dropship,true,false,SEL-085,WH-01,2025-11-29
142,2136,37,Product_37,Toys,1,1200.99,869.98,331.01,0.1091,94.91,true,defective,warehouse,false,false,SEL-088,WH-20,2024-01-28
143,1006,40,Product_40,Music,1,1451.84,1283.78,168.06,0.0855,109.76,true,changed_mind,digital_delivery,true,true,SEL-012,WH-13,2022-10-30
144,3382,342,Product_342,Automotive,2,778.1,1518.4,37.8,0.1065,161.71,true,,in_store,false,true,SEL-072,WH-10,2024-01-29
145,410,458,Product_458,Toys,5,430.81,2117.28,36.77,0.0632,133.81,true,,digital_delivery,true,true,SEL-100,WH-14,2024-08-03
146,2469,268,Product_268,Clothing,1,167.62,131.53,36.09,0.0668,8.79,false,,warehouse,true,true,SEL-076,WH-06,2024-11-27
147,1713,186,Product_186,Beauty,1,295.48,226.74,68.74,0.0851,19.3,true,wrong_item,warehouse,false,true,SEL-077,WH-20,2023-11-16
148,1498,442,Product_442,Home & Garden,2,1124.82,2087.64,162.0,0.116,242.17,false,,dropship,false,false,SEL-010,WH-08,2023-06-14
149,3828,65,Product_65,Clothing,1,1149.39,1114.33,35.06,0.0935,104.19,true,arrived_late,in_store,false,false,SEL-090,WH-06,2025-08-24
150,187,87,Product_87,Music,1,812.86,769.45,43.41,0.0545,41.94,true,wrong_item,dropship,false,true,SEL-038,WH-02,2025-10-29
151,3570,381,Product_381,Toys,5,378.9,1867.07,27.43,0.1078,201.27,true,,dropship,true,false,SEL-032,WH-07,2025-01-30
152,1812,61,Product_61,Electronics,1,1470.03,1393.18,76.85,0.0753,104.91,false,,warehouse,false,false,SEL-019,WH-10,2024-10-27
153,4790,454,Product_454,Beauty,2,268.85,478.96,58.74,0.0769,36.83,false,,in_store,true,true,SEL-027,WH-09,2025-04-19
154,4954,115,Product_115,Beauty,4,948.06,3636.11,156.13,0.0943,342.89,false,,digital_delivery,false,false,SEL-081,WH-06,2024-12-18
155,2843,89,Product_89,Music,3,1122.54,3124.26,243.36,0.0772,241.19,true,wrong_item,warehouse,true,true,SEL-011,WH-01,2024-12-01
156,1761,53,Product_53,Toys,5,948.05,4740.07,0.18,0.0876,415.23,true,,digital_delivery,true,true,SEL-069,WH-03,2023-04-03
157,3431,125,Product_125,Clothing,2,561.86,976.4,147.32,0.0514,50.19,true,not_as_described,warehouse,false,false,SEL-032,WH-14,2022-08-05
158,3388,121,Product_121,Electronics,1,1044.9,811.64,233.26,0.0828,67.2,true,changed_mind,in_store,true,true,SEL-016,WH-03,2023-04-10
159,1321,442,Product_442,Electronics,2,1368.38,2695.19,41.57,0.0537,144.73,false,,dropship,true,true,SEL-026,WH-01,2023-08-28
160,4569,263,Product_263,Electronics,4,278.92,1104.81,10.87,0.068,75.13,true,not_as_described,dropship,true,true,SEL-056,WH-15,2023-10-27
161,3532,53,Product_53,Books,4,883.5,3512.45,21.55,0.0817,286.97,false,,digital_delivery,true,true,SEL-060,WH-11,2025-10-03
162,1449,34,Product_34,Books,3,302.14,842.07,64.35,0.0916,77.13,true,not_as_described,in_store,false,false,SEL-073,WH-15,2023-05-02
163,4544,23,Product_23,Food,4,256.24,982.31,42.65,0.0968,95.09,false,,in_store,false,true,SEL-064,WH-17,2022-05-03
164,2033,22,Product_22,Music,4,266.84,1036.49,30.87,0.0897,92.97,false,,digital_delivery,false,true,SEL-100,WH-19,2022-06-07
165,153,470,Product_470,Food,5,1168.65,5759.74,83.51,0.1098,632.42,true,,warehouse,false,true,SEL-042,WH-02,2025-04-25
166,1886,139,Product_139,Food,2,868.18,1668.56,67.8,0.1049,175.03,true,wrong_item,digital_delivery,true,false,SEL-003,WH-18,2023-02-24
167,2487,68,Product_68,Beauty,4,1038.48,4140.36,13.56,0.0971,402.03,true,wrong_item,warehouse,true,true,SEL-093,WH-05,2025-08-26
168,3286,37,Product_37,Music,2,1480.79,2621.18,340.4,0.0828,217.03,true,arrived_late,in_store,false,true,SEL-055,WH-01,2023-08-18
169,4816,401,Product_401,Beauty,3,284.03,806.32,45.77,0.1031,83.13,false,,warehouse,true,false,SEL-052,WH-12,2022-07-07
170,1924,432,Product_432,Beauty,3,388.37,1156.21,8.9,0.065,75.15,true,wrong_item,dropship,true,false,SEL-045,WH-04,2025-04-12
171,1303,358,Product_358,Clothing,1,427.27,354.64,72.63,0.0928,32.91,false,,dropship,true,false,SEL-046,WH-15,2023-01-16
172,2655,374,Product_374,Sports,2,1284.07,2359.83,208.31,0.0548,129.32,true,not_as_described,digital_delivery,true,true,SEL-076,WH-18,2025-08-23
173,1560,127,Product_127,Home & Garden,3,864.11,2442.97,149.36,0.0926,226.22,true,defective,in_store,true,true,SEL-084,WH-15,2024-09-16
174,3574,300,Product_300,Electronics,2,1104.75,2032.42,177.08,0.0798,162.19,true,wrong_item,in_store,false,true,SEL-066,WH-13,2025-04-26
175,2290,28,Product_28,Sports,2,109.13,201.53,16.73,0.0967,19.49,true,not_as_described,in_store,false,false,SEL-098,WH-13,2023-05-06
176,500,405,Product_405,Music,3,610.71,1744.55,87.58,0.0812,141.66,false,,in_store,true,false,SEL-096,WH-04,2025-07-15
177,1094,192,Product_192,Sports,2,11.86,21.44,2.28,0.0893,1.91,true,,in_store,true,false,SEL-003,WH-17,2024-03-27
178,3779,349,Product_349,Sports,5,1445.97,6934.89,294.96,0.0695,481.97,true,defective,dropship,false,false,SEL-050,WH-10,2023-10-17
179,1011,327,Product_327,Toys,1,1133.85,822.9,310.95,0.0702,57.77,false,,in_store,false,false,SEL-028,WH-07,2025-06-10
180,1423,448,Product_448,Electronics,1,1457.94,1404.81,53.13,0.0666,93.56,true,changed_mind,in_store,false,true,SEL-052,WH-12,2024-09-13
181,3909,339,Product_339,Food,4,1238.37,4882.3,71.18,0.0946,461.87,false,,in_store,true,true,SEL-061,WH-02,2024-05-19
182,3408,40,Product_40,Clothing,4,17.62,68.04,2.44,0.1175,7.99,true,arrived_late,digital_delivery,false,false,SEL-047,WH-10,2023-07-09
183,4883,363,Product_363,Books,1,790.98,687.33,103.65,0.0754,51.82,true,not_as_described,in_store,false,true,SEL-076,WH-06,2024-07-21
184,706,499,Product_499,Home & Garden,1,696.87,523.74,173.13,0.074,38.76,true,arrived_late,warehouse,false,true,SEL-019,WH-08,2022-03-31
185,3013,59,Product_59,Electronics,4,483.0,1930.82,1.18,0.1185,228.8,true,wrong_item,digital_delivery,true,true,SEL-068,WH-07,2023-12-24
186,4787,282,Product_282,Music,1,1164.94,835.71,329.23,0.0884,73.88,true,defective,dropship,false,false,SEL-073,WH-01,2023-06-10
187,1622,475,Product_475,Electronics,3,1238.03,3348.79,365.3,0.0986,330.19,true,defective,in_store,false,false,SEL-001,WH-18,2025-12-19
188,2604,32,Product_32,Toys,5,387.84,1862.48,76.72,0.11,204.87,false,,digital_delivery,true,true,SEL-059,WH-17,2023-09-30
189,124,253,Product_253,Sports,4,132.42,518.95,10.73,0.1036,53.76,false,,digital_delivery,false,false,SEL-081,WH-08,2025-08-15
190,448,342,Product_342,Clothing,1,583.56,549.32,34.24,0.1017,55.87,true,defective,in_store,false,false,SEL-073,WH-07,2023-12-24
191,4517,345,Product_345,Food,3,452.46,1240.48,116.9,0.1155,143.28,true,wrong_item,in_store,false,false,SEL-080,WH-05,2022-11-16
192,1978,332,Product_332,Electronics,1,335.24,298.08,37.16,0.112,33.38,false,,in_store,false,false,SEL-070,WH-10,2025-08-13
