order_id,user_id,order_date,status,total_amount,payment_method,shipping_type,channel,warehouse_id,coupon_code,discount_amount,tax_amount,shipping_fee,estimated_delivery,actual_delivery,num_items,is_gift,order_rating,ip_address,currency
81,1866,2024-03-11 23:34:30,returned,2032.21,credit_card,free,in_store,WH-15,FLASH30,290.03,129.27,2.3,2024-03-18,2024-03-20,4,true,1.5,188.24.79.221,USD
82,1334,2023-04-11 16:50:33,returned,760.78,stripe,express,in_store,WH-07,FLASH30,138.93,81.13,23.98,2023-04-22,2023-04-26,5,false,3.7,2.247.147.243,USD
83,1910,2025-01-18 03:52:20,delivered,2487.75,credit_card,overnight,web,WH-18,SAVE10,572.37,202.19,19.94,2025-01-25,2025-01-26,7,false,1.0,23.165.232.31,USD
84,1619,2022-02-17 09:47:20,returned,2813.72,paypal,free,phone,WH-03,FLASH30,75.67,245.32,13.59,2022-02-19,2022-02-18,5,false,,207.103.186.118,USD
85,1406,2023-08-08 18:37:05,processing,2390.64,stripe,overnight,in_store,WH-15,NEWUSER15,694.69,240.01,1.64,2023-08-14,2023-08-12,2,false,,119.94.107.217,USD
86,1316,2025-08-07 04:53:00,pending,2311.57,paypal,standard,phone,WH-17,SUMMER20,643.62,174.28,13.74,2025-08-12,2025-08-17,8,true,1.3,203.192.205.186,USD
87,312,2023-01-10 20:25:27,delivered,738.55,gift_card,standard,phone,WH-11,SAVE10,135.59,52.28,26.17,2023-01-24,2023-01-23,5,false,3.5,57.214.213.203,USD
88,26,2023-05-16 04:11:49,processing,619.48,credit_card,pickup,phone,WH-04,SUMMER20,162.65,43.82,16.3,2023-05-18,2023-05-17,7,true,,123.28.219.216,USD
89,104,2023-11-02 19:48:57,pending,1200.26,credit_card,free,marketplace,WH-16,NEWUSER15,143.06,64.6,13.0,2023-11-11,,10,false,,173.51.26.153,USD
90,1179,2023-03-19 21:05:59,processing,1243.1,debit_card,pickup,marketplace,WH-08,,12.04,143.09,11.62,2023-03-21,2023-03-23,10,false,1.3,139.132.79.183,USD
91,961,2023-12-04 15:39:32,delivered,2550.04,bank_transfer,free,mobile_app,WH-15,SUMMER20,412.46,289.28,4.59,2023-12-18,2023-12-21,10,true,3.1,241.178.59.4,USD
92,1788,2025-04-25 16:02:58,processing,2835.66,gift_card,express,phone,WH-15,WELCOME5,484.8,229.18,26.98,2025-05-01,2025-05-04,10,true,1.1,187.168.22.17,USD
93,1711,2023-05-24 19:11:35,cancelled,1151.76,crypto,standard,mobile_app,WH-15,,264.23,99.66,1.98,2023-05-26,2023-05-26,5,false,2.6,203.83.14.146,USD
94,571,2024-11-06 23:25:56,processing,1923.23,credit_card,pickup,web,WH-12,,383.06,201.52,19.82,2024-11-13,2024-11-17,4,true,3.2,182.61.97.207,USD
95,1189,2025-06-01 22:16:49,shipped,80.07,crypto,pickup,web,WH-11,,6.62,6.47,1.44,2025-06-09,2025-06-11,10,true,,158.65.232.40,USD
96,1013,2024-05-19 12:02:52,pending,1698.25,credit_card,pickup,marketplace,WH-14,VIP25,47.44,187.79,18.78,2024-05-22,2024-05-22,7,true,3.1,164.108.211.237,USD
97,1071,2022-04-23 19:16:33,delivered,2678.69,crypto,express,marketplace,WH-09,SAVE10,669.08,191.74,2.42,2022-05-05,2022-05-09,2,true,,105.227.221.121,USD
98,103,2024-05-15 10:56:15,returned,2907.52,crypto,pickup,in_store,WH-16,SAVE10,298.56,250.98,29.36,2024-05-25,2024-05-23,5,false,2.9,2.8.59.16,USD
99,405,2022-05-10 17:35:04,cancelled,1102.85,paypal,free,phone,WH-09,VIP25,246.95,95.28,12.41,2022-05-19,2022-05-23,3,true,3.7,157.69.150.248,USD
100,1727,2023-06-22 20:37:07,delivered,2592.9,debit_card,express,in_store,WH-20,WELCOME5,725.13,162.52,10.89,2023-07-03,2023-07-02,1,true,,252.37.113.236,USD
101,1540,2024-01-26 11:35:03,returned,2095.1,paypal,overnight,mobile_app,WH-09,SUMMER20,297.59,182.7,17.32,2024-02-07,2024-02-07,4,true,4.0,24.61.133.163,USD
102,9,2022-07-02 01:07:35,cancelled,370.94,gift_card,overnight,in_store,WH-08,SAVE10,72.11,27.35,12.16,2022-07-08,2022-07-11,2,true,,121.92.3.130,USD
103,1553,2022-12-02 02:10:57,shipped,1833.28,crypto,express,web,WH-07,FLASH30,133.21,151.06,26.92,2022-12-09,2022-12-10,3,false,,205.189.123.203,USD
104,1180,2025-10-08 02:48:30,returned,1303.03,paypal,overnight,in_store,WH-17,,368.68,80.27,0.19,2025-10-13,2025-10-16,1,false,,201.132.43.157,USD
105,1828,2023-03-31 13:08:30,processing,134.58,gift_card,free,web,WH-14,WELCOME5,34.64,11.83,15.58,2023-04-04,2023-04-07,9,true,1.7,162.163.92.223,USD
106,1038,2023-12-21 07:07:43,processing,2174.61,crypto,standard,phone,WH-15,SUMMER20,248.25,188.43,11.02,2023-12-31,2023-12-31,7,true,,17.21.94.51,USD
107,1742,2022-07-30 18:28:26,delivered,1911.37,gift_card,pickup,marketplace,WH-14,SAVE10,257.6,98.84,23.26,2022-08-05,2022-08-07,8,false,2.3,23.60.252.113,USD
108,1209,2024-07-02 04:39:53,pending,1616.01,gift_card,express,mobile_app,WH-08,VIP25,3.83,84.31,24.26,2024-07-09,2024-07-09,9,false,3.2,206.211.84.116,USD
109,1409,2025-03-07 14:16:44,returned,1097.66,paypal,free,mobile_app,WH-06,SAVE10,64.3,104.45,23.76,2025-03-15,2025-03-17,6,true,,139.246.224.169,USD
110,421,2025-05-04 08:09:54,pending,849.08,stripe,standard,marketplace,WH-13,,103.89,57.69,8.06,2025-05-08,2025-05-12,2,false,,146.151.204.167,USD
111,415,2024-07-29 03:57:49,delivered,1800.49,debit_card,pickup,marketplace,WH-13,,183.58,94.68,11.53,2024-08-08,2024-08-08,10,false,,178.47.124.130,USD
112,765,2024-12-25 02:51:04,returned,1491.14,gift_card,free,mobile_app,WH-11,VIP25,357.32,152.86,7.36,2025-01-06,2025-01-04,6,true,2.3,176.148.98.158,USD
113,615,2022-04-24 21:30:00,cancelled,429.11,stripe,standard,marketplace,WH-03,,41.08,37.89,16.39,2022-05-05,2022-05-03,9,true,4.0,118.25.72.153,USD
114,1525,2022-09-28 22:50:33,shipped,2743.12,debit_card,free,mobile_app,WH-04,WELCOME5,168.16,214.01,7.33,2022-10-06,2022-10-09,9,true,2.1,45.110.219.203,USD
115,1463,2025-01-09 06:04:52,cancelled,1488.11,credit_card,overnight,mobile_app,WH-17,SUMMER20,221.33,117.81,25.92,2025-01-23,2025-01-22,10,true,,12.197.151.252,USD
116,961,2024-06-04 10:56:30,pending,2906.01,credit_card,pickup,phone,WH-09,NEWUSER15,287.22,302.21,15.38,2024-06-18,2024-06-17,9,true,,154.23.182.245,USD
117,1419,2025-10-15 16:23:12,processing,692.91,crypto,express,web,WH-05,,25.58,81.43,10.7,2025-10-28,2025-11-01,1,false,,136.29.114.202,USD
118,1539,2022-01-27 08:22:00,processing,932.18,credit_card,free,mobile_app,WH-01,WELCOME5,196.67,103.29,14.82,2022-02-03,2022-02-02,2,false,3.4,30.97.88.34,USD
119,1773,2023-12-06 12:44:28,pending,510.72,stripe,pickup,mobile_app,WH-11,,60.71,45.31,16.99,2023-12-08,2023-12-09,2,true,1.1,102.222.163.44,USD
120,320,2022-10-30 20:56:49,shipped,1634.22,stripe,pickup,phone,WH-03,WELCOME5,8.83,106.34,13.46,2022-11-01,2022-10-31,10,true,1.3,209.103.9.240,USD
121,954,2024-02-09 11:16:59,returned,437.05,gift_card,express,in_store,WH-08,SAVE10,64.37,22.96,22.29,2024-02-16,,10,true,1.0,93.6.28.245,USD
122,824,2025-01-08 08:17:58,shipped,570.61,crypto,standard,in_store,WH-04,SAVE10,22.6,67.44,1.07,2025-01-19,2025-01-18,8,true,,169.32.7.152,USD
123,811,2023-11-20 09:05:14,processing,617.01,paypal,pickup,phone,WH-14,SUMMER20,160.1,71.2,25.05,2023-12-04,2023-12-02,8,true,3.6,61.144.12.57,USD
124,1629,2023-08-20 08:30:16,returned,683.61,credit_card,standard,marketplace,WH-10,,201.04,79.92,10.86,2023-08-26,2023-08-25,10,false,3.0,37.174.96.125,USD
125,739,2022-03-10 00:57:49,shipped,286.64,gift_card,overnight,in_store,WH-17,VIP25,26.66,24.76,19.45,2022-03-16,2022-03-14,1,false,,100.220.190.74,USD
126,1317,2022-09-08 15:03:52,shipped,185.38,credit_card,pickup,marketplace,WH-18,FLASH30,27.92,19.17,27.45,2022-09-10,2022-09-10,1,true,,104.190.4.216,USD
127,1217,2022-06-24 03:03:43,returned,2556.41,paypal,standard,in_store,WH-13,,587.18,133.61,29.07,2022-06-27,2022-06-27,7,false,2.8,166.40.169.38,USD
128,1380,2024-09-17 03:00:01,returned,2723.36,bank_transfer,free,mobile_app,WH-01,SAVE10,512.5,190.27,5.89,2024-09-28,2024-10-01,7,true,4.0,66.216.248.243,USD
129,1139,2024-01-26 05:47:54,shipped,250.19,gift_card,express,phone,WH-04,VIP25,2.24,16.49,23.49,2024-02-02,2024-02-07,7,false,1.4,241.75.86.56,USD
130,132,2025-09-03 14:24:02,returned,896.81,bank_transfer,overnight,in_store,WH-16,SAVE10,156.17,67.13,28.72,2025-09-05,,10,false,4.9,109.233.234.66,USD
131,277,2025-06-14 13:03:58,cancelled,1352.74,debit_card,overnight,in_store,WH-02,VIP25,56.41,91.71,12.38,2025-06-17,,10,true,,68.181.110.171,USD
132,609,2023-11-18 13:12:07,shipped,133.2,debit_card,overnight,in_store,WH-07,VIP25,33.41,10.56,13.19,2023-11-21,2023-11-25,1,true,,49.65.190.24,USD
133,922,2023-10-17 09:46:08,pending,567.56,credit_card,free,mobile_app,WH-15,FLASH30,31.79,29.5,17.28,2023-10-23,2023-10-28,6,true,,90.197.140.69,USD
134,1136,2022-09-13 21:19:36,cancelled,1665.59,debit_card,pickup,phone,WH-12,NEWUSER15,222.66,154.82,6.34,2022-09-24,2022-09-23,1,true,4.8,35.207.15.201,USD
135,1722,2023-08-18 14:36:36,shipped,861.83,credit_card,pickup,in_store,WH-12,,71.82,67.75,28.27,2023-08-27,2023-09-01,9,true,2.5,167.221.226.242,USD
136,627,2023-01-20 23:09:02,delivered,2384.94,credit_card,standard,mobile_app,WH-17,SUMMER20,592.54,215.01,16.94,2023-01-27,2023-01-25,10,false,1.7,196.213.27.65,USD
137,489,2024-04-01 07:50:14,pending,2031.79,gift_card,pickup,marketplace,WH-02,WELCOME5,93.34,198.8,4.23,2024-04-06,2024-04-10,6,false,1.5,48.135.219.53,USD
138,1658,2024-07-28 09:57:47,cancelled,2316.4,debit_card,standard,mobile_app,WH-18,FLASH30,612.76,253.68,10.17,2024-07-30,2024-08-04,4,false,3.9,5.26.188.111,USD
139,1306,2024-01-08 12:11:58,pending,1397.12,bank_transfer,free,web,WH-20,SUMMER20,168.43,83.77,20.66,2024-01-11,2024-01-10,1,false,4.4,76.248.233.195,USD
140,628,2023-06-26 03:25:07,processing,2809.26,bank_transfer,overnight,mobile_app,WH-04,WELCOME5,233.74,307.55,17.73,2023-06-29,2023-06-30,9,false,2.7,191.205.95.106,USD
141,1015,2023-10-22 14:37:53,delivered,1828.77,debit_card,express,in_store,WH-08,NEWUSER15,328.88,150.56,4.9,2023-10-30,2023-11-03,4,true,,49.173.220.163,USD
142,1262,2022-05-03 11:36:36,processing,1717.22,paypal,express,web,WH-15,NEWUSER15,509.13,125.1,12.16,2022-05-10,2022-05-09,5,true,,39.243.147.200,USD
143,1039,2023-11-21 15:56:51,cancelled,1160.1,credit_card,free,web,WH-06,VIP25,241.94,64.98,18.99,2023-11-29,,6,false,3.5,48.221.60.110,USD
144,1535,2023-01-09 07:35:34,shipped,1329.9,credit_card,express,in_store,WH-16,VIP25,290.8,86.51,7.48,2023-01-11,,2,true,2.1,207.111.191.144,USD
145,293,2023-10-06 05:03:53,cancelled,381.76,stripe,express,in_store,WH-10,,12.44,45.78,13.84,2023-10-10,,4,false,,212.246.82.239,USD
146,715,2025-05-17 15:52:51,shipped,2803.76,bank_transfer,express,phone,WH-13,SAVE10,732.47,228.91,28.12,2025-05-22,,2,false,3.0,164.185.4.4,USD
147,1118,2025-09-10 15:59:07,pending,1944.9,stripe,overnight,phone,WH-01,FLASH30,518.13,133.8,16.46,2025-09-12,2025-09-15,8,true,5.0,228.173.202.242,USD
148,542,2025-10-25 12:58:41,delivered,214.9,credit_card,free,mobile_app,WH-09,VIP25,44.08,11.31,28.5,2025-10-29,2025-11-02,3,false,4.1,9.237.240.208,USD
149,1117,2023-12-12 17:15:53,delivered,660.41,debit_card,express,marketplace,WH-07,FLASH30,160.15,71.6,2.35,2023-12-23,2023-12-22,9,true,,79.86.1.167,USD
150,470,2022-01-06 02:28:56,delivered,2330.93,paypal,pickup,mobile_app,WH-16,SAVE10,449.07,244.98,6.9,2022-01-17,2022-01-16,7,false,,143.207.24.53,USD
151,1798,2022-12-30 07:09:26,shipped,2778.27,debit_card,pickup,mobile_app,WH-12,VIP25,395.96,164.49,20.96,2023-01-11,2023-01-10,9,true,,9.238.44.23,USD
